Description,Menu ID,Type,Alias,Program,AON Equiv.,Who,Comp,Needs CodePort,Needs DocOut,DocOut Status,Normalization Mods Done,Comments
Invoice Date Modification Register,ARR_DATEREGISTER,A,ARR_DATEREGISTER,arr_dateregister.aon,ARR.PA,JL,Y,,Y,Done PS-BP,,
Change Sales Analysis Flag,ARX_CHANGESAFLAG,T,ARX_CHANGESAFLAG,,v7,,,,,,,
General Ledger,GLMENU,M,,,,,,,,,,
Journal Entry,GLE_JRNLHDR,T,GLE_JRNLHDR,,GLE.CA,SV/CH,Y,,,,,
Journal Entry Register,GLR_JOURNAL,A,,glr_journal.aon,GLR.MA,JL/CH,Y,,Y,Done-PPT-BP,,"Note - this register runs glr_recap.  Once converted to DocOut, just change the glr_recap program name to glr_recap_DO, as there is already a DocOut version of the recap. Added the line rep_prog$=pgm(-2)"
Daily Detail Register,GLR_DAILYDETAIL,T,GLR_DAILYDETAIL,,GLR.DA,JL/CH,Y,,Y,,,
Account Allocation Entry,GLE_ALLOCHDR,T,GLE_ALLOCHDR,,GLE.EA,SV/CH,Y,, ,,,
Account Allocation Register,GLR_ALLOCATE,T,GLR_ALLOCATE,,GLR.QA,JL/CH,Y,,Y,Done SV-BP,,Added the line rep_prog$=pgm(-2) 
Bank Reconciliation,GLM_BANKMASTER,T,GLM_BANKMASTER,,APM.EA,SV,P,,,,,
Reports,GLMENU_REPORTS,G,,,,,,,,,,
Chart Of Accounts Listing,GLR_ACCTLIST,T,GLR_ACCTLIST,,GLR.KA,SV,Y,,Y,Done-CH,,"modified 8/29; added Option! syntax, adc_fileopen/template mods, rd/ad ==> ba directories/publics. CH; Added the line rep_prog$=pgm(-2) "
Daily Detail Register,GLR_DAILYDETAIL_RP,T,GLR_DAILYDETAIL,,GLR.DA,JL,Y,,Y,Done-PPT-BP,,"modified 8/29; added Option! syntax, adc_fileopen/template mods, rd/ad ==> ba directories/publics. CH; Added the line rep_prog$=pgm(-2) "
Transaction History Report,GLR_TRANSHISTORY,T,GLR_TRANSHISTORY,,GLR.CA,SV,Y,,Y,Done-PPT-BP,,"modified 8/29; added Option! syntax, adc_fileopen/template mods, rd/ad ==> ba directories/publics. CH; Added the line rep_prog$=pgm(-2) "
Summary Activity Report,GLR_SUMMARY,T,GLR_SUMMARY,,GLR.IA,JL,Y,,Y,Done-PPT-BP,,"modified 8/29; added Option! syntax, adc_fileopen/template mods, rd/ad ==> ba directories/publics. CH; Added the line rep_prog$=pgm(-2) "
General Ledger Trial Balance,GLR_TRIALBALANCE,T,GLR_TRIALBALANCE,,GLR.BA,JL,Y,Y,Y,Done-PPT-BP,,"modified 8/30; added Option! syntax, adc_fileopen/template mods, rd/ad ==> ba directories/publics. CH; Added the line rep_prog$=pgm(-2) "
Profit and Loss Statement,GLR_PROFITLOSS,T,GLR_PROFITLOSS,,GLR.PA,SV,Y,,Y,Done-PPT-BP,,Added the line rep_prog$=pgm(-2) 
Balance Sheet,GLR_BALANCE,T,GLR_BALANCE,,GLR.EA,JL,Y,,Y,Done-PPT-BP,,Added the line rep_prog$=pgm(-2) 
Financial Report Printing,GLR_FINANCIALSRP,T,GLR_FINANCIALS,,GLE.AA,JB,Y,Y,Y,,,
13 Period Financial Report Printing,GLR_13PERIODRP,T,GLR_13PERIOD,,GLE.BA,JL,P,Y,Y,,,
Budgeting,GLMENU_BUDGETS,G,,,,,,,,,,
Revision Codes,GLM_BUDGETMASTER,T,GLM_BUDGETMASTER,,GLM.MA,,P,,,,,
Create Budget Revision,GLU_CREATEBUDGET,T,GLU_CREATEBUDGET,,GLU.FA,,P,,,,,
Budget Revision Maintenance,GLM_EA,T,,glm_ea.aon,GLM.EA,,,,,,,
Budget Revision Report,GLR_BUDGETREPORT,T,GLR_BUDGETREPORT,,GLR.LA,JL,P,,,,,
Budget Revision Register,GLR_BUDGETUPDATE,T,GLR_BUDGETUPDATE,,GLR.RA,JL,P,,,,,
Custom Financials,GLMENU_CUSTOM,G,,,,,,,,,,
Financial Report Master,GLM_FINMASTER,T,GLM_FINMASTER,,GLM.DA,CT/CH,Y,,,,,New - Detail FS Setup (GLM_FINDETAIL) - runs from GLM_FINMASTER
Report Heading,GLM_FINHEADING,T,GLM_FINHEADING,,GLM.KA,,,Y,,,,
Reports by Account,GLM_FA,T,,glm_fa.aon,GLM.FA,CH,Y,,,,,
Acct/Report Cross Reference Report,GLR_ACCTXREF,A,,glr_acctxref.aon,GLR.GA,JL,P,,Y,Done-PPT-BP,,Added the line rep_prog$=pgm(-2) 
Total/Report Cross Reference Report,GLR_TOTALSREPORT,A,,glr_totalsreport.aon,GLR.OA,JL,P,,Y,Done-PPT-BP,,Added the line rep_prog$=pgm(-2) 
Report/Account Maintenance,GLM_GA,T,,glm_ga.aon,GLM.GA,,,,,,,
Consolidated Acct/Rpt Maintenance,GLM_IA,T,,glm_ia.aon,GLM.IA,CH,Y,,,,,
Consolidated Acct/Rpt Xref Report,GLR_CONSACCTXREF,A,,glr_consacctxref.aon,GLR.JA,JL,Y,Y,Y,Done PS-BP,,Added the line rep_prog$=pgm(-2) 
Create Departmental Reports,GLM_CONSXREFRPT,T,,glm_ha.aon,GLM.HA,,,,,,,
Copy Financial Reports,GLM_JA,T,,glm_ja.aon,GLM.JA,JB,Y,,,,,
Financial Report Printing,GLR_FINANCIALS,T,GLR_FINANCIALS,,GLE.AA,,,Y,Y,,,
13 Period Financial Report Printing,GLR_13PERIOD,T,GLR_13PERIOD,,GLE.BA,,,Y,Y,,,
Period End Processing,GLMENU_PEND,G,,,,,,,,,,
Period End Update,GLU_PERIODEND,T,GLU_PERIODEND,,GLU.CA,JB,Y,,,,,
Update Beginning Balances,GLR_BEGBAL,A,,glr_begbal.aon,GLR.HA,,P,,,,,
Year End Update,GLE_YEAREND,A,,gle_yearend.aon,GLU.DA,,P,,
Purge Transaction History,GLU_PURGETRANS,T,GLU_PURGETRANS,,GLU.AA,,P,,
Maintenance,GLMENU_MAINT,G,,,,,,,
Account Master,GLM_ACCT,T,GLM_ACCT,,GLM.AA,SV/CLT,Y,Y,
Journal ID Codes,GLC_JOURNALCODE,T,GLC_JOURNALCODE,,GLM.CA,SV/CLT,Y,Y,
Posting Control,GLM_AUDITCONTROL,T,GLM_AUDITCONTROL,,GLM.BA,CH,Y,,
Cycle Codes,GLC_CYCLECODE,T,GLC_CYCLECODE,,GLM.LA,SV/CLT,Y,,
Recurring Journal Entry Header,GLE_RECJEHDR,T,GLE_RECJEHDR,,GLE.DA,CH,Y,,
Recurring Journal Entry Register,GLR_RECURRING,T,GLR_RECURRING,,GLR.NA,CH,Y,Y,Y
Parameters,GLMENU_PARAMS,G,ARS_PARAMS,,,,,,
Application Parameters,GLS_PARAMS,T,GLS_PARAMS,,GLP.AA,JL,Y,,
Fiscal Calendar,GLS_CALENDAR,T,GLS_CALENDAR,,GLP.AA,JL,Y,,
Suspense Account,GLS_SUSPENSE,T,GLS_SUSPENSE,,GLP.AA,JL,Y,,
Retained Earnings,GLS_EARNINGS,T,GLS_EARNINGS,,GLP.AA,JL,Y,,
Chart of Account Breaks,GLM_ACCTBREAKS,T,GLM_ACCTBREAKS,,GLP.AA,JL/CLT,Y,Y,
Default Display Columns,GLS_COLUMNS,T,GLS_COLUMNS,,GLP.AA,JL,P,,
Utilities,GLMENU_UTILITIES,G,,,,,,,,,,
Copy Chart of Accounts,GLX_COPYCHART,T,GLX_COPYCHART,,v7,CH,Y,,,,,
Inventory Control,IVMENU,M,,,,,,,,,,
Inventory Transaction Entry,IVE_TRANSHDR,T,IVE_TRANSHDR,,IVE.AA,,,,,,,
Inventory Transaction Register,IVR_AA,T,,ivr_aa.aon,IVR.AA,BJ-BP,P,Y,Y,,Done BJ-BP,20Aug mods
Inventory Transfers Entry,IVE_TRANSFER,T,IVE_TRANSFER,,IVE.CA,,,,,,,
Inventory Transfer Register,IVR_GA,T,,ivr_ga.aon,IVR.GA,BJ-BP,P,Y,Y,,Done BJ-BP,20Aug mods
Cost Changes,IVMENU_COSTS,G,,,,,,,,,,
Cost Change Entry,IVE_GA,T,,ive_ga.aon,IVE.GA,,,,,,,
Cost Change By Percentage Entry,IVE_JA,T,,ive_ja.aon,IVE.JA,,,,,,,
Cost Change Valuation Report,IVR_WA,T,,ivr_wa.aon,IVR.WA,BJ-BP,P,Y,Y,,Done BJ_BP,20Aug mods
Cost Change Register,IVR_JA,T,,ivr_ja.aon,IVR.JA,BJ-BP,P,Y,Y,,Done BJ-BP,20Aug mods
Price Changes,IVMENU_PRICES,G,,,,,,,,,,
Price Change Entry,IVE_EA,T,,ive_ea.aon,IVE.EA,,,,,,,
Price Change By Percentage Entry,IVE_HA,T,,ive_ha.aon,IVE.HA,,,,,,,
Price Change Register,IVR_LA,T,,ivr_la.aon,IVR.LA,BJ-BP,P,Y,Y,,Done BJ-BP,20Aug mods
Price Change Reversal Register,IVR_4A,T,,ivr_4a.aon,IVR.4A,BJ-BP,P,Y,Y,,Done BJ-BP,20Aug mods
Physical Inventory,IVMENU_PHYSINV,G,,,,,,,,,,
Physical Inventory Selection,IVE_PA,T,,ive_pa.aon,IVE.PA,,,,,,,
Cancel Physical Inventory,IVE_QA,T,,ive_qa.aon,IVE.QA,,,,,,,
Print Count Sheets,IVR_UA,T,,ivr_ua.aon,IVR.UA,BJ-BP,P,Y,Y,,Done BJ-BP,20Aug mods
Count Sheet Entry,IVE_RA,T,,ive_ra.aon,IVE.RA,,,,,,,
Physical Inventory Register,IVR_VA,T,,ivr_va.aon,IVR.VA,BJ-BP,P,Y,Y,,Done BJ-BP,20Aug mods
Reports,IVMENU_REPORTS,G,,,,,,,,,,
Inventory Price List,IVR_PRICELIST,T,,ivr_pricelist/ivr_pricelist_o1,IVR.FA,BJ-BP,P(A/B),Y,Y,Done SV-BP,Done BJ-BP,IVR.FB; fa and fb converted to ivr_pricelist and ivr_pricelist_o1. Select Form built. CH.20Aug mods
Inventory Vendor Listing,IVR_VENDLIST,T,,ivr_vendlist/ivr_vendlist_o1,IVR.IA,BJ-BP,P(A/B),Y,Y,Done SS-BP,Done BJ-BP,"IVR.IB; ia/ib converted to ivr_vendlist and ivr_vendlist_o1. Also converted two publics, ivc_au/wa, now ivc_usage and ivc_whseinfo. Select Form built.CH.20Aug mods"
Inventory Item Requirements Report,IVR_ITEMREQUIREMT,T,IVR_ITEMREQUIREMT,ivr_itemrequiremt.aon & _o1,IVR.MA,BJ-BP,P(A/B),Y,Y,Done SV-BP,Done BJ-BP,IVR.MB 20Aug mods; converted to ivr_itemrequiremt & _o1. Select Form built. Data tested.
Inventory Analysis Report,IVR_ITEMANALYSIS,T,IVR_ITEMANALYSIS,ivr_itemanalysis.aon & _o1,IVR.HA,BJ-BP,P(A/B),Y,Y,Done SV-BP,Done BJ-BP,IVR.HB 20Aug mods; ha & hb converted to ivr_itemanalysis & _o1. Select Form built. Data tested.
Inventory Stock Status Report,IVR_STKSTATUS,T,IVR_STKSTATUS,ivr_stkstatus.aon & _o1,IVR.BA,BJ-BP,P(A/B),Y,Y,Done SV-BP,Done BJ-BP,IVR.BB 20Aug mods; converted to ivr_stkstatus & _o1. Select Form built. Data tested.
Item Activity Report,IVR_ITEMACT,T,IVR_ITEMACT,ivr_itemact.aon,IVR.EA,,, ,Y,Done SV-BP,,IVR.EA/EB; converted to a single program ivr_itemact.aon. Select Form built. SL.
Stock Movement Report,IVR_STKMOVEMT,T,IVR_STKMOVEMT,ivr_stkmovemt.aon & _o1,IVR.CA,BJ-BP,P(A/B),Y,Y,Done SV-BP,Done BJ-BP,IVR.CB;ca and cb converted to ivr_stkmovemt and ivr_stkmovemt.o1. Select Form built. SL. 20Aug mods. Data tested.
Reorder & Shortage Report,IVR_STKREORDR,T,IVR_STKREORDR,ivr_stkreordr.aon & _o1,IVR.DA,BJ-BP,P(A/B),Y,Y,Done SV-BP,Done BJ-BP,IVR.DB;converted to ivr_stkreordr & _o1. Select Form built. SL.  Data tested.
Turns Report,IVR_ITEMTURNS,T,IVR_ITEMTURNS,ivr_itemturns.aon & _o1,IVR.KA,BJ-BP,P(A/B),Y,Y,Done SS-BP,Done BJ-BP,IVR.KB;ka and kb converted to ivr_itemturns and _o1. Select Form built. SL.
Yesterday's Zero Balance Report,IVR_ZEROBAL,T,IVR_ZEROBAL,ivr_zerobal.aon & _o1,IVR.ZA,BJ-BP,P(A/B),Y,Y,Done SV-BP,Done BJ-BP,IVR.ZB 20Aug mods;converted to ivr_zerobal & _o1. Select Form built. SL. Data tested.
Transaction History Listing,IVR_TRANSHIST,T,IVR_TRANSHIST,ivr_transhist.aon,IVR.QA,,,,,,,
LIFO/FIFO Tier Report,IVR_LIFOFIFO,T,IVR_LIFOFIFO,ivr_lifofifo.aon,IVR.XA,,,,,,,
Synonyms Listing,IVR_ITEMSYN,T,IVR_ITEMSYN,ivr_itemsyn/ivr_itemsyn_o1,IVR.SA,BJ-BP,P(A/B),Y,Y,Done SV-BP,Done BJ-BP,IVR.SB;sa/sb converted to ivr_itemsyn and ivr_itemsyn_o1; modified to use alt key on ivm-14 rather than ivm-24 xref. Select Form built.CH 20Aug mods
Alternate/Superceded Items Listing,IVR_ITEMALT,T,IVR_ITEMALT,ivr_itemalt.aon & _o1,IVR.2A,BJ-BP,P(A/B),Y,Y,Done SV-BP,Done BJ-BP,IVR.2B 20Aug mods converted to ivr_itemalt & _01. Select form built. Report tested but there aren't any items to include. SL
Inventory Description Listing,IVR_ITEMDESC,T,IVR_ITEMDESC,ivr_itemdesc/ivr_itemdesc_o1,IVR.TA,BJ-BP,P(A/B),Y,Y,Done SV-BP,Done BJ-BP,"IVR.TB; found select screen, so maybe someone did this in the past; I created ivr_itemdesc from ivr_ta, and ivr_itemdesc_o1 from ivr_tb. CH.20Aug mods"
Item Detail Listing,IVR_ITEMDETAIL,T,IVR_ITEMDETAIL,ivr_itemdetail & _o1,IVR.RA,BJ-BP,P(A/B),Y,Y,Done SS-BP,Done BJ-BP,IVR.RB 20Aug mods
Item Labels,IVR_ITEMLABELS,T,,ivr_1a.aon,IVR.1A,BJ-BP,Y-CH,Y,,,Done BJ-BP,IVR.1B;1a/1b converted to ivr_itemlabels and ivr_itemlabels_o1; Select Form built. CH. 20Aug mods
Lotted/Serialized Inventory,IVMENU_LOTS,G,,,,,,,,,,
History By Item Inquiry,IVM_FA,T,,ivm_fa.aon,IVM.FA,,,,,,,
History By Customer Inquiry,IVM_IA,T,,ivm_ia.aon,IVM.IA,,,,,,,
History By Vendor Inquiry,IVM_JA,T,,ivm_ja.aon,IVM.JA,,,,,,,
History By Item Report,IVR_LSTRANHIST,T,IVR_LSTRANHIST,,IVR.7A,,,,,,,
History By Customer Report,IVR_9A,T,,ivr_9a.aon,IVR.9A,BJ-BP,P(A/B),Y,Y,,Done BJ-BP,IVR.9B 20Aug mods
History By Vendor Report,IVR_8A,T,,ivr_8a.aon,IVR.8A,BJ-BP,P(A/B),Y,Y,,Done BJ-BP,IVR.8B 20Aug mods
Stock Status Report,IVR_YA,T,,ivr_ya.aon,IVR.YA,BJ-BP,P(A/B),Y,Y,,Done BJ-BP,IVR.YB 20Aug mods
Lot/Serial Number Activity Report,IVR_LOTACTIVITY,T,IVR_LOTACTIVITY,ivr_lotactivity.aon & _o1,IVR.6A,BJ-BP,P(A/B),Y,Y,Done SV-BP,Done BJ-BP,IVR.6B 20Aug mods;converted to ivr_lotactivity & _o1. Select Form built. SL Data tested. The lot sequence table IVX_LSXREF is empty.  The lot/serial reports could use the alternate key to IVM_LSMASTER.
Period End Processing,IVMENU_PEND,G,,,,,,,,,,
A B C Analysis Report,IVR_PA,T,,ivr_pa.aon,IVR.PA,BJ-BP,P(A/B),Y,Y,,Done BJ-BP,"IVR.PB,IVR.PC 20Aug mods"
"EOQ, Order Point & Safety Stock Report",IVR_OA,T,,ivr_oa.aon,IVR.OA,BJ-BP,P(A/B),Y,Y,,Done BJ-BP,"IVR.OB,IVR.OC 20Aug mods"
Inventory Valuation Report,IVR_NA,T,,ivr_na.aon,IVR.NA,BJ-BP,P(A/B),Y,Y,,Done BJ-BP,IVR.NB 20Aug mods
Purge Inventory Transaction History,IVU_TA,T,,ivu_ta.aon,IVU.TA,BJ-BP,P,Y,,,Done BJ-BP,20Aug mods
Purge Inventory Activity,IVU_BA,T,,ivu_ba.aon,IVU.BA,BJ-BP,P,Y,,,Done BJ-BP,20Aug mods
Purge Closed Lot/Serial Numbers,IVU_EA,T,,ivu_ea.aon,IVU.EA,BJ-BP,P,Y,,,Done BJ-BP,20Aug mods
Purge Lot/Serial Transaction History,IVU_HA,T,,ivu_ha.aon,IVU.HA,BJ-BP,P,Y,,,Done BJ-BP,20Aug mods
Purge Lot/Serial Activity,IVU_IA,T,,ivu_ia.aon,IVU.IA,BJ-BP,P,Y,,,Done BJ-BP,20Aug mods
Period End Update,IVU_CA,T,,ivu_ca.aon,IVU.CA,BJ-BP,P,Y,,,Done BJ-BP,20Aug mods
Maintenance,IVMENU_MAINT,G,,,,,,,,,,
Inventory Items,IVM_ITEMMAST,T,IVM_ITEMMAST,,IVM.MA,CH,Y,,,,,
Product Types,IVC_PRODCODE,T,IVC_PRODCODE,,IVM.AA,NL/CLT,P,,,,,CLT
